20260701 013600;1.140800;1.140830;1.140800;1.140820;0
20260701 013700;1.140830;1.140830;1.140750;1.140800;0
20260701 013800;1.140790;1.140820;1.140750;1.140790;0
20260701 013900;1.140790;1.140850;1.140790;1.140830;0
20260701 014000;1.140810;1.140820;1.140760;1.140820;0
20260701 014100;1.140840;1.140860;1.140830;1.140840;0
20260701 014200;1.140840;1.140900;1.140840;1.140870;0
20260701 014300;1.140870;1.140930;1.140850;1.140930;0
20260701 014400;1.140910;1.141020;1.140900;1.141000;0
20260701 014500;1.141000;1.141010;1.140910;1.140940;0
20260701 014600;1.140950;1.140960;1.140910;1.140950;0
20260701 014700;1.140940;1.140940;1.140840;1.140850;0
20260701 014800;1.140840;1.140860;1.140780;1.140800;0
20260701 014900;1.140790;1.140810;1.140770;1.140800;0
20260701 015000;1.140800;1.140860;1.140800;1.140850;0
20260701 015100;1.140850;1.140880;1.140840;1.140870;0
20260701 015200;1.140860;1.140880;1.140790;1.140880;0
20260701 015300;1.140890;1.140890;1.140860;1.140860;0
20260701 015400;1.140850;1.140850;1.140500;1.140510;0
20260701 015500;1.140490;1.140490;1.140290;1.140410;0
20260701 015600;1.140390;1.140480;1.140340;1.140440;0
20260701 015700;1.140470;1.140540;1.140450;1.140530;0
20260701 015800;1.140530;1.140580;1.140500;1.140530;0
20260701 015900;1.140520;1.140570;1.140510;1.140570;0
20260701 020000;1.140570;1.140790;1.140560;1.140780;0
20260701 020100;1.140770;1.140780;1.140680;1.140760;0
20260701 020200;1.140750;1.140750;1.140600;1.140660;0
20260701 020300;1.140690;1.140810;1.140640;1.140800;0
20260701 020400;1.140800;1.140930;1.140790;1.140790;0
20260701 020500;1.140780;1.140790;1.140590;1.140640;0
20260701 020600;1.140660;1.140720;1.140650;1.140690;0
20260701 020700;1.140680;1.140770;1.140670;1.140770;0
20260701 020800;1.140770;1.140810;1.140690;1.140690;0
20260701 020900;1.140720;1.140720;1.140430;1.140460;0
20260701 021000;1.140460;1.140460;1.140350;1.140380;0
20260701 021100;1.140360;1.140410;1.140340;1.140380;0
20260701 021200;1.140390;1.140410;1.140340;1.140350;0
20260701 021300;1.140360;1.140360;1.140230;1.140230;0
20260701 021400;1.140240;1.140240;1.140150;1.140240;0
20260701 021500;1.140230;1.140430;1.140180;1.140430;0
20260701 021600;1.140430;1.140480;1.140420;1.140420;0
20260701 021700;1.140410;1.140430;1.140300;1.140340;0
20260701 021800;1.140350;1.140400;1.140320;1.140340;0
20260701 021900;1.140350;1.140400;1.140340;1.140400;0
20260701 022000;1.140410;1.140420;1.140250;1.140290;0
20260701 022100;1.140270;1.140300;1.140180;1.140240;0
20260701 022200;1.140240;1.140410;1.140230;1.140410;0
20260701 022300;1.140410;1.140410;1.140330;1.140360;0
20260701 022400;1.140360;1.140410;1.140350;1.140410;0
20260701 022500;1.140390;1.140430;1.140340;1.140340;0
20260701 022600;1.140340;1.140340;1.140240;1.140330;0
20260701 022700;1.140310;1.140330;1.140240;1.140250;0
